x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mzmed,rtmed,,,NM481,NM482,NM483,NM484,NM485,NM486,NMINF481,NMINF482,NMINF483,NMINF484,NMINF485,NMINF486,AM481,AM482,AM483,AM484,AM485,AM486,AMINF481,AMINF482,AMINF483,AMINF484,AMINF485,AMINF486
,261.0755934,258.7405116,,,26772.76582,17019.44851,37339.39424,1706.251026,24056.64375,15702.91787,75689.8748,55338.76133,55715.71136,63757.41638,60333.62977,47154.41985,10569.94703,16486.79522,12922.13231,12140.95566,10439.18093,876.9097977,19255.55195,27036.51852,4390.177064,14170.54867,12590.12729,11984.80108
,525.2690836,337.1224117,,,1569930.154,2388110.359,1241366.406,2119003.278,1441238.713,1854857.145,408693.452,1051877.451,1578222.409,709360.8622,998502.0422,1263563.918,2232114.998,2739518.356,2020538.673,2468263.609,2088378.988,2401608.69,3187017.475,2438137.054,3383544.791,2894383.576,3265825.37,2980397.616
,1056.511872,269.9155801,,,473956.7526,513193.8537,467476.8169,513094.4441,474829.6415,491736.5645,166109.9567,364831.1833,415026.2558,272455.5704,301657.8191,366324.2117,535062.3367,520039.8559,527325.3343,510626.9843,510593.5055,502484.3736,465754.3438,465597.5456,567155.668,459175.9415,491003.299,486125.538
,421.1555543,288.2439995,,,8373.442541,19265.67384,10200.14567,16351.75362,1486.706115,6449.242133,4163.885166,5724.15857,5166.212562,4073.879741,4059.569439,3779.935185,21377.61454,23866.9332,17706.84729,20156.30195,15824.16385,20174.25962,12332.07607,11604.12434,17586.89848,2386.365552,11569.88825,4409.633591
,262.0800721,258.7764922,,,3698.281145,2045.926858,5308.446286,3071.228458,3660.394561,3479.446676,8642.49379,8108.750526,9131.290715,6969.979312,8061.046647,6367.517822,2822.077407,2580.74,2515.340843,2909.320812,2312.423559,2153.214952,3215.950259,3958.105286,1214.819863,3191.139919,2456.596363,2231.062644
,872.486407,269.8742448,,,53945.25569,57141.55514,37247.02724,42140.46696,43543.37437,46558.47774,22686.07676,35497.07729,34839.39443,20461.48186,29493.69277,35264.95464,75204.84071,76907.86706,69709.06614,76539.68693,72108.68396,70949.169,57110.90078,54760.81763,101064.9375,58533.9648,77036.71629,57244.59959
,404.0282324,50.07700682,,,2665.556816,3122.246807,1257.302399,946.0123629,1507.850175,2170.68543,1422.06286,1639.098813,1461.456265,1590.142447,1670.32966,1362.030355,3710.824643,3571.06594,3456.282971,3079.650049,3074.801511,3007.654451,3856.406456,2801.643206,3456.003587,2756.759554,3338.401707,982.0877507
,331.2334642,410.2579645,,,107854.7473,198870.3044,81854.25789,148767.6531,95362.58266,140971.0566,36623.05946,232858.4939,178865.1283,131987.8163,113706.4384,224290.0651,118534.3594,119903.2636,156120.0098,121012.3414,123871.6629,147172.4905,570069.45,538629.8219,588172.4594,588009.1086,598757.8184,539294.1164
,307.2370116,385.3426413,,,549094.519,606101.4447,367802.0816,540829.7488,437388.9493,452481.3645,145135.6422,238637.177,283729.2608,175165.957,199448.5598,239016.94,492112.8278,600948.426,534910.66,522493.7311,478836.1903,524925.2167,615424.1698,550366.7723,597090.8041,562273.1793,572879.5686,521921.1579
,1039.545486,269.9273847,,,33709.00983,6704.986992,11127.90623,38643.41212,35151.23311,34690.0004,13632.10484,17411.82736,18891.24057,1835.55404,13246.20088,13845.09715,48792.64814,48845.63709,54008.35352,52374.23535,56543.90862,37852.54637,23718.85536,44517.13952,59698.74009,33236.30506,37208.87494,33149.59359
,578.3943144,332.8835026,,,191620.7708,236067.601,154603.5203,194947.796,156636.5726,163401.6548,68902.46202,108554.9846,67197.64433,73222.88784,75053.40321,90960.70296,266261.4418,215314.6189,239354.3687,226162.8767,221619.738,205879.672,218791.6999,181307.4783,289655.1344,160469.256,216733.3802,182566.1614
,526.2726915,337.1233668,,,389713.5405,675246.6532,298041.8537,549406.8222,350969.9651,483337.0224,82248.24617,252589.6531,396050.1448,153325.8334,229717.2214,305924.9179,604046.0254,738884.004,520683.2476,670199.0515,548285.5762,636923.9134,851915.1138,659506.8453,945496.5936,815169.8382,889829.0215,793748.0916
,676.3710853,227.4703558,,,31043.35424,49193.61095,14356.99037,32620.12431,13573.47942,32957.13728,3174.931619,3510.378049,5335.114108,4072.114018,4805.871882,6006.160169,62836.98652,48097.67277,36767.92437,49652.47911,52071.39103,50791.60693,12691.96083,8652.98327,23269.12644,4388.238399,11058.46666,17534.59516
